"","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"Cluster1",0.318,0.354,-17.178,0.0488,0.773,0.801,0.689,0.157,96.832
"Cluster2",0.272,0.073,-23.8215,0.0443,0.958,0.911,0.108,0.0781,136.4015
"Cluster3",0.622,0.597,-7.41,0.0446,0.155,4.71e-05,0.119,0.41,119.94
"Cluster4",0.497,0.278,-11.54,0.0361,0.818,0.000118,0.111,0.24,111.978
"Cluster5",0.686,0.479,-9.5935,0.334,0.425,0.0001885,0.122,0.473,108.505
"Cluster6",0.655,0.172,-18.281,0.0505,0.888,0.893,0.108,0.432,93.9485
"Cluster7",0.193,0.0321,-27.988,0.0422,0.957,0.92,0.108,0.0473,74.755
