"","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"Cluster1",0.686,0.479,-9.588,0.334,0.424,0.000187,0.122,0.473,108.522
"Cluster2",0.622,0.597,-7.4115,0.0445,0.155,4.76e-05,0.119,0.409,119.935
"Cluster3",0.496,0.278,-11.541,0.0361,0.818,0.000118,0.111,0.24,111.983
"Cluster4",0.193,0.0321,-27.9875,0.0422,0.957,0.92,0.108,0.0473,74.755
"Cluster5",0.655,0.172,-18.282,0.0505,0.888,0.893,0.108,0.432,93.919
"Cluster6",0.272,0.073,-23.83,0.0443,0.958,0.911,0.108,0.0781,136.387
"Cluster7",0.317,0.353,-17.193,0.04875,0.7745,0.802,0.689,0.157,96.782
